,ticket_id,customer_id,agent_id,category,priority,created_at,first_response_at,resolved_at,status,escalated_flag,reopen_count
0,1,147,4,Technical,High,2024-04-08 18:04:13,2024-04-08 18:09:13,2024-04-08 20:08:37.000000,Closed,0,0
1,2,5,3,Billing,Medium,2024-01-22 16:12:45,2024-01-22 16:21:45,2024-01-22 20:37:56.999999,Closed,0,0
2,3,75,17,Technical,Low,2024-06-07 06:20:27,2024-06-07 06:41:27,2024-06-07 11:57:39.000000,Closed,0,0
3,4,149,8,Account,Urgent,2024-11-06 03:48:09,2024-11-06 03:55:09,2024-11-06 05:13:09.000000,Open,1,0
4,5,88,17,Technical,Medium,2024-01-25 16:12:37,2024-01-25 16:18:37,2024-01-25 21:56:25.000000,Closed,1,0
5,6,128,5,Account,Low,2024-03-09 17:22:46,2024-03-09 17:32:46,2024-03-09 22:20:10.000000,Closed,0,0
6,7,111,3,Technical,Urgent,2024-09-05 23:28:04,2024-09-05 23:34:04,2024-09-06 01:38:52.000000,Closed,0,0
7,8,126,2,Account,Low,2024-05-21 22:01:49,2024-05-21 22:15:49,2024-05-22 02:58:25.000000,Closed,0,0
8,9,138,2,Feature,Medium,2024-02-14 01:42:15,2024-02-14 01:48:15,2024-02-14 02:48:51.000000,Closed,1,0
9,10,111,16,Technical,High,2024-12-17 12:54:25,2024-12-17 12:59:25,2024-12-17 15:33:01.000000,Open,0,0
10,11,93,13,Account,Medium,2024-09-18 21:49:23,2024-09-18 21:57:23,2024-09-19 02:13:34.999999,Closed,0,0
11,12,110,12,Technical,Medium,2024-01-17 11:11:43,2024-01-17 11:22:43,2024-01-17 14:26:19.000000,Closed,0,0
12,13,69,16,Billing,Low,2024-11-27 18:00:28,2024-11-27 18:39:28,2024-11-27 19:22:04.000000,Open,0,0
13,14,101,1,Feature,Medium,2024-03-13 04:43:36,2024-03-13 05:08:36,2024-03-13 10:51:48.000000,Closed,0,0
14,15,82,17,Bug,Urgent,2024-08-15 18:50:38,2024-08-15 18:54:38,2024-08-15 21:14:26.000000,Closed,0,0
15,16,6,2,Billing,Low,2024-01-21 14:14:25,2024-01-21 14:34:25,2024-01-21 18:20:37.000000,Closed,0,0
16,17,149,18,Technical,Medium,2024-07-07 22:29:11,2024-07-07 22:45:11,2024-07-08 03:16:59.000000,Closed,0,0
17,18,98,11,Feature,High,2024-04-22 22:25:31,2024-04-22 22:39:31,2024-04-23 00:34:43.000000,Closed,1,2
18,19,107,5,Technical,Medium,2024-06-08 12:21:11,2024-06-08 12:25:11,2024-06-08 17:56:23.000000,Closed,0,0
19,20,14,11,Bug,Low,2024-08-22 02:47:42,2024-08-22 03:12:42,2024-08-22 10:41:30.000000,Closed,0,0
20,21,132,5,Technical,High,2024-03-30 22:51:24,2024-03-30 23:03:24,2024-03-31 02:02:12.000000,Closed,0,0
21,22,127,16,Billing,Low,2024-06-04 19:06:49,2024-06-04 19:29:49,2024-06-04 23:22:01.000000,Closed,0,0
22,23,117,3,Billing,Low,2024-09-12 02:58:05,2024-09-12 03:30:05,2024-09-12 10:32:29.000000,Closed,0,0
23,24,100,15,Account,High,2024-11-17 21:07:08,2024-11-17 21:20:08,2024-11-18 00:12:20.000000,Open,0,0
24,25,93,3,Technical,Medium,2024-06-17 14:30:47,2024-06-17 14:46:47,2024-06-17 22:34:11.000000,Closed,0,0
25,26,115,16,Bug,Medium,2024-06-22 02:00:15,2024-06-22 02:18:15,2024-06-22 07:14:39.000000,Closed,1,0
26,27,84,20,Account,Low,2024-12-21 20:19:05,2024-12-21 20:46:05,2024-12-22 04:00:29.000000,Open,0,0
27,28,54,5,Billing,High,2024-03-07 08:29:20,2024-03-07 08:37:20,2024-03-07 10:18:08.000000,Closed,0,0
28,29,47,20,Account,Medium,2024-06-23 19:52:47,2024-06-23 20:08:47,2024-06-24 00:28:35.000000,Closed,0,0
29,30,21,20,Technical,Medium,2024-01-03 14:46:44,2024-01-03 15:23:44,2024-01-03 22:21:20.000000,Closed,0,0
30,31,22,8,Billing,Medium,2024-02-14 05:50:29,2024-02-14 05:56:29,2024-02-14 08:56:29.000000,Closed,0,0
